REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,578935.0,10.0,/,1842.0,686.0,751.0,3554.0,0.0,585778.0
Asia,SINGAPORE,0,8156.0,2424.0,/,3283.0,77044.0,85.0,40664.0,592.0,132248.0
Asia,REST OF,0,6793.0,967.0,/,5433.0,1454.0,110.0,1583.0,0.0,16340.0
TOTAL ASIA,NAN,0,593884.0,3401.0,/,10558.0,79184.0,946.0,45801.0,592.0,734366.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,121794.0,17419.0,/,32737.0,0.0,380.0,496.0,213.0,173039.0
Europe,REST OF,0,18691.0,1800.0,/,51.0,2072.0,385.0,8402.0,34.0,31435.0
TOTAL Europe,NAN,0,140485.0,19219.0,/,32788.0,2072.0,765.0,8898.0,247.0,204474.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,2404.0,3604.0,222,4642.0,0.0,0.0,0.0,0.0,10872.0
TOTAL U.S.A.,NAN,/,2404.0,3604.0,222,4642.0,0.0,0.0,0.0,0.0,10872.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,0,736773.0,26224.0,222,47988.0,81256.0,1711.0,54699.0,839.0,949712.0
